,Category,Message
0,ham,"['go', 'until', 'jurong', 'point,', 'crazy..', 'available', 'only', 'in', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet...', 'cine', 'there', 'got', 'amore', 'wat...']"
1,ham,"['ok', 'lar...', 'joking', 'wif', 'u', 'oni...']"
2,spam,"['marketword', 'entry', 'in', '2', 'a', 'wkly', 'comp', 'to', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005.', 'text', 'fa', 'to', '87121', 'to', 'receive', 'entry', 'question(std', 'txt', ""rate)t&c's"", 'apply', 'phonenumber']"
3,ham,"['u', 'dun', 'say', 'so', 'early', 'hor...', 'u', 'c', 'already', 'then', 'say...']"
4,ham,"['nah', 'i', ""don't"", 'think', 'he', 'goes', 'to', 'usf,', 'he', 'lives', 'around', 'here', 'though']"
5,spam,"['marketword', 'hey', 'there', 'darling', ""it's"", 'been', '3', ""week's"", 'now', 'and', 'no', 'word', 'back!', ""i'd"", 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still?', 'tb', 'ok!', 'xxx', 'std', 'chgs', 'to', 'send,', '£1.50', 'to', 'rcv']"
6,ham,"['even', 'my', 'brother', 'is', 'not', 'like', 'to', 'speak', 'with', 'me.', 'they', 'treat', 'me', 'like', 'aids', 'patent.']"
7,ham,"['as', 'per', 'your', 'request', ""'melle"", 'melle', '(oru', 'minnaminunginte', 'nurungu', ""vettam)'"", 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers.', 'press', '*9', 'to', 'copy', 'your', 'friends', 'callertune']"
8,spam,"['winner!!', 'as', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', '£900', 'prize', 'reward!', 'to', 'claim', 'call', 'phonenumber', 'claim', 'code', 'kl341.', 'valid', '12', 'hours', 'only.']"
9,spam,"['had', 'your', 'mobile', '11', 'months', 'or', 'more?', 'u', 'r', 'entitled', 'to', 'update', 'to', 'the', 'latest', 'colour', 'mobiles', 'with', 'camera', 'for', 'marketword', 'call', 'the', 'mobile', 'update', 'co', 'marketword', 'on', 'phonenumber']"
10,ham,"[""i'm"", 'gonna', 'be', 'home', 'soon', 'and', 'i', ""don't"", 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight,', 'k?', ""i've"", 'cried', 'enough', 'today.']"
11,spam,"['six', 'marketword', 'to', 'win', 'cash!', 'from', '100', 'to', '20,000', 'pounds', 'txt>', 'csh11', 'and', 'send', 'to', '87575.', 'cost', 'costperperiod', '6days,', '16+', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']"
12,spam,"['urgent!', 'you', 'have', 'won', 'a', '1', 'week', 'marketword', 'membership', 'in', 'our', '£100,000', 'prize', 'jackpot!', 'txt', 'the', 'word:', 'claim', 'to', 'no:', '81010', 't&c', 'website', 'lccltd', 'pobox', '4403ldnw1a7rw18']"
13,ham,"[""i've"", 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather.', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise.', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times.']"
14,ham,"['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will!!']"
15,spam,"['xxxmobilemovieclub:', 'to', 'use', 'your', 'credit,', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here>>', 'website', 'website']"
16,ham,"['oh', ""k...i'm"", 'watching', 'here:)']"
17,ham,"['eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name...', 'yes', 'i', 'did.', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet.']"
18,ham,"['fine', 'if', 'that\x92s', 'the', 'way', 'u', 'feel.', 'that\x92s', 'the', 'way', 'its', 'gota', 'b']"
19,spam,"['england', 'v', 'macedonia', '-', 'dont', 'miss', 'the', 'goals/team', 'news.', 'txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'try:wales,', 'scotland', '4txt/ú1.20', 'poboxox36504w45wq', '16+']"
20,ham,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name?']"
21,ham,"['i‘m', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']"
22,ham,"['so', 'ü', 'pay', 'first', 'lar...', 'then', 'when', 'is', 'da', 'stock', 'comin...']"
23,ham,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor.', 'ard', '3', 'smth', 'lor.', 'u', 'finish', 'ur', 'lunch', 'already?']"
24,ham,"['ffffffffff.', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner?']"
25,ham,"['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice.', ""i'm"", 'really', 'not', 'hungry', 'tho.', 'this', 'sucks.', 'mark', 'is', 'getting', 'worried.', 'he', 'knows', ""i'm"", 'sick', 'when', 'i', 'turn', 'down', 'pizza.', 'lol']"
26,ham,"['lol', 'your', 'always', 'so', 'convincing.']"
27,ham,"['did', 'you', 'catch', 'the', 'bus', '?', 'are', 'you', 'frying', 'an', 'egg', '?', 'did', 'you', 'make', 'a', 'tea?', 'are', 'you', 'eating', 'your', ""mom's"", 'left', 'over', 'dinner', '?', 'do', 'you', 'feel', 'my', 'love', '?']"
28,ham,"[""i'm"", 'back', '&amp;', ""we're"", 'packing', 'the', 'car', 'now,', ""i'll"", 'let', 'you', 'know', 'if', ""there's"", 'room']"
29,ham,"['ahhh.', 'work.', 'i', 'vaguely', 'remember', 'that!', 'what', 'does', 'it', 'feel', 'like?', 'lol']"
30,ham,"['wait', ""that's"", 'still', 'not', 'all', 'that', 'clear,', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', ""that's"", 'why', 'x', ""doesn't"", 'want', 'to', 'live', 'with', 'us']"
31,ham,"['yeah', 'he', 'got', 'in', 'at', '2', 'and', 'was', 'v', 'apologetic.', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that.', 'till', '2!', 'but', 'we', ""won't"", 'go', 'there!', 'not', 'doing', 'too', 'badly', 'cheers.', 'you?']"
32,ham,"['k', 'tell', 'me', 'anything', 'about', 'you.']"
33,ham,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did?', 'quick', 'have', 'a', 'cuppa']"
34,spam,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', '£5/month', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no.', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']"
35,ham,"['yup...', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'ü', 'again...', 'xuhui', 'going', 'to', 'learn', 'on', '2nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']"
36,ham,"['oops,', ""i'll"", 'let', 'you', 'know', 'when', 'my', ""roommate's"", 'done']"
37,ham,"['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']"
38,ham,"['anything', 'lor...', 'u', 'decide...']"
39,ham,"['hello!', ""how's"", 'you', 'and', 'how', 'did', 'saturday', 'go?', 'i', 'was', 'just', 'texting', 'to', 'see', 'if', ""you'd"", 'decided', 'to', 'do', 'anything', 'tomo.', 'not', 'that', ""i'm"", 'trying', 'to', 'invite', 'myself', 'or', 'anything!']"
40,ham,"['pls', 'go', 'ahead', 'with', 'watts.', 'i', 'just', 'wanted', 'to', 'be', 'sure.', 'do', 'have', 'a', 'great', 'weekend.', 'abiola']"
41,ham,"['did', 'i', 'forget', 'to', 'tell', 'you', '?', 'i', 'want', 'you', ',', 'i', 'need', 'you,', 'i', 'crave', 'you', '...', 'but', 'most', 'of', 'all', '...', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', '...', 'mmmmmm', '...', 'yummy']"
42,spam,"['phonenumber', '-', 'rodger', 'burns', '-', 'msg', '=', 'we', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'marketword', 'nokia', 'mobile', '+', 'marketword', 'camcorder.', 'please', 'call', 'now', 'phonenumber', 'for', 'delivery', 'tomorrow']"
43,ham,"['who', 'are', 'you', 'seeing?']"
44,ham,"['great!', 'i', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed.', 'i', 'am', '&lt;#&gt;', 'inches...']"
45,ham,"['no', 'calls..messages..missed', 'calls']"
46,ham,"[""didn't"", 'you', 'get', 'hep', 'b', 'immunisation', 'in', 'nigeria.']"
47,ham,"['fair', 'enough,', 'anything', 'going', 'on?']"
48,ham,"['yeah', 'hopefully,', 'if', 'tyler', ""can't"", 'do', 'it', 'i', 'could', 'maybe', 'ask', 'around', 'a', 'bit']"
49,ham,"['u', ""don't"", 'know', 'how', 'stubborn', 'i', 'am.', 'i', ""didn't"", 'even', 'want', 'to', 'go', 'to', 'the', 'hospital.', 'i', 'kept', 'telling', 'mark', ""i'm"", 'not', 'a', 'weak', 'sucker.', 'hospitals', 'are', 'for', 'weak', 'suckers.']"
50,ham,"['what', 'you', 'thinked', 'about', 'me.', 'first', 'time', 'you', 'saw', 'me', 'in', 'class.']"
51,ham,"['a', 'gram', 'usually', 'runs', 'like', '&lt;#&gt;', ',', 'a', 'half', 'eighth', 'is', 'smarter', 'though', 'and', 'gets', 'you', 'almost', 'a', 'whole', 'second', 'gram', 'for', '&lt;#&gt;']"
